try_number,demand_scenario,preemption_strategy,hold_duration,priority_enabled,priority_distance,vehicle_id,start_time,end_time,travel_time
1,normal,none,0,False,0.0,324,599.0,792.0,193.0
1,normal,none,0,False,0.0,378,682.0,792.0,110.0
1,normal,none,0,False,0.0,434,783.0,794.0,11.0
1,normal,none,0,False,0.0,354,639.0,796.0,157.0
1,normal,none,0,False,0.0,385,694.0,796.0,102.0
1,normal,none,0,False,0.0,350,631.0,797.0,166.0
1,normal,none,0,False,0.0,297,536.0,801.0,265.0
1,normal,none,0,False,0.0,352,635.0,802.0,167.0
1,normal,none,0,False,0.0,436,788.0,804.0,16.0
1,normal,none,0,False,0.0,358,646.0,805.0,159.0
1,normal,none,0,False,0.0,400,721.0,805.0,84.0
1,normal,none,0,False,0.0,338,610.0,806.0,196.0
1,normal,none,0,False,0.0,433,785.0,806.0,21.0
1,normal,none,0,False,0.0,419,756.0,807.0,51.0
1,normal,none,0,False,0.0,320,583.0,808.0,225.0
1,normal,none,0,False,0.0,330,595.0,809.0,214.0
1,normal,none,0,False,0.0,356,642.0,809.0,167.0
1,normal,none,0,False,0.0,431,777.0,809.0,32.0
1,normal,none,0,False,0.0,347,626.0,811.0,185.0
1,normal,none,0,False,0.0,406,732.0,811.0,79.0
1,normal,none,0,False,0.0,365,658.0,814.0,156.0
1,normal,none,0,False,0.0,337,632.0,815.0,183.0
1,normal,none,0,False,0.0,369,666.0,820.0,154.0
1,normal,none,0,False,0.0,368,664.0,824.0,160.0
1,normal,none,0,False,0.0,371,669.0,827.0,158.0
1,normal,none,0,False,0.0,373,673.0,827.0,154.0
1,normal,none,0,False,0.0,328,594.0,829.0,235.0
1,normal,none,0,False,0.0,377,680.0,830.0,150.0
1,normal,none,0,False,0.0,388,700.0,830.0,130.0
1,normal,none,0,False,0.0,404,758.0,831.0,73.0
1,normal,none,0,False,0.0,457,827.0,831.0,4.0
1,normal,none,0,False,0.0,415,748.0,832.0,84.0
1,normal,none,0,False,0.0,366,660.0,837.0,177.0
1,normal,none,0,False,0.0,399,720.0,837.0,117.0
1,normal,none,0,False,0.0,326,588.0,843.0,255.0
1,normal,none,0,False,0.0,397,716.0,846.0,130.0
1,normal,none,0,False,0.0,363,655.0,848.0,193.0
1,normal,none,0,False,0.0,380,685.0,848.0,163.0
1,normal,none,0,False,0.0,396,714.0,848.0,134.0
1,normal,none,0,False,0.0,398,718.0,848.0,130.0
1,normal,none,0,False,0.0,405,750.0,848.0,98.0
1,normal,none,0,False,0.0,413,745.0,849.0,104.0
1,normal,none,0,False,0.0,452,815.0,850.0,35.0
1,normal,none,0,False,0.0,408,739.0,854.0,115.0
1,normal,none,0,False,0.0,427,770.0,854.0,84.0
1,normal,none,0,False,0.0,334,643.0,856.0,213.0
1,normal,none,0,False,0.0,467,842.0,859.0,17.0
1,normal,none,0,False,0.0,327,590.0,863.0,273.0
1,normal,none,0,False,0.0,391,705.0,863.0,158.0
1,normal,none,0,False,0.0,456,822.0,864.0,42.0
1,normal,none,0,False,0.0,468,844.0,865.0,21.0
1,normal,none,0,False,0.0,432,779.0,868.0,89.0
1,normal,none,0,False,0.0,409,738.0,869.0,131.0
1,normal,none,0,False,0.0,308,559.0,872.0,313.0
1,normal,none,0,False,0.0,435,787.0,880.0,93.0
1,normal,none,0,False,0.0,393,709.0,881.0,172.0
1,normal,none,0,False,0.0,455,820.0,883.0,63.0
1,normal,none,0,False,0.0,450,811.0,886.0,75.0
1,normal,none,0,False,0.0,420,757.0,888.0,131.0
1,normal,none,0,False,0.0,439,792.0,889.0,97.0
1,normal,none,0,False,0.0,453,825.0,889.0,64.0
1,normal,none,0,False,0.0,440,793.0,891.0,98.0
1,normal,none,0,False,0.0,381,687.0,893.0,206.0
1,normal,none,0,False,0.0,390,703.0,893.0,190.0
1,normal,none,0,False,0.0,322,581.0,897.0,316.0
1,normal,none,0,False,0.0,437,788.0,898.0,110.0
1,normal,none,0,False,0.0,387,698.0,900.0,202.0
1,normal,none,0,False,0.0,325,586.0,905.0,319.0
1,normal,none,0,False,0.0,376,678.0,905.0,227.0
1,normal,none,0,False,0.0,426,771.0,906.0,135.0
1,normal,none,0,False,0.0,395,712.0,907.0,195.0
1,normal,none,0,False,0.0,429,774.0,907.0,133.0
1,normal,none,0,False,0.0,474,855.0,907.0,52.0
1,normal,none,0,False,0.0,348,628.0,908.0,280.0
1,normal,none,0,False,0.0,424,765.0,908.0,143.0
1,normal,none,0,False,0.0,421,759.0,910.0,151.0
1,normal,none,0,False,0.0,332,599.0,912.0,313.0
1,normal,none,0,False,0.0,480,865.0,914.0,49.0
1,normal,none,0,False,0.0,486,876.0,915.0,39.0
1,normal,none,0,False,0.0,462,833.0,917.0,84.0
1,normal,none,0,False,0.0,471,849.0,918.0,69.0
1,normal,none,0,False,0.0,470,847.0,919.0,72.0
1,normal,none,0,False,0.0,506,912.0,919.0,7.0
1,normal,none,0,False,0.0,484,873.0,921.0,48.0
1,normal,none,0,False,0.0,438,790.0,922.0,132.0
1,normal,none,0,False,0.0,465,838.0,924.0,86.0
1,normal,none,0,False,0.0,448,810.0,926.0,116.0
1,normal,none,0,False,0.0,460,829.0,927.0,98.0
1,normal,none,0,False,0.0,473,854.0,928.0,74.0
1,normal,none,0,False,0.0,482,872.0,929.0,57.0
1,normal,none,0,False,0.0,515,928.0,929.0,1.0
1,normal,none,0,False,0.0,449,810.0,930.0,120.0
1,normal,none,0,False,0.0,499,901.0,934.0,33.0
1,normal,none,0,False,0.0,496,894.0,936.0,42.0
1,normal,none,0,False,0.0,443,799.0,937.0,138.0
1,normal,none,0,False,0.0,444,801.0,938.0,137.0
1,normal,none,0,False,0.0,445,804.0,944.0,140.0
1,normal,none,0,False,0.0,346,624.0,949.0,325.0
1,normal,none,0,False,0.0,458,826.0,950.0,124.0
1,normal,none,0,False,0.0,476,858.0,952.0,94.0
1,normal,none,0,False,0.0,430,775.0,955.0,180.0
1,normal,none,0,False,0.0,491,885.0,958.0,73.0
1,normal,none,0,False,0.0,446,804.0,962.0,158.0
1,normal,none,0,False,0.0,454,840.0,962.0,122.0
1,normal,none,0,False,0.0,475,859.0,963.0,104.0
1,normal,none,0,False,0.0,372,672.0,964.0,292.0
1,normal,none,0,False,0.0,364,658.0,965.0,307.0
1,normal,none,0,False,0.0,333,601.0,968.0,367.0
1,normal,none,0,False,0.0,514,927.0,969.0,42.0
1,normal,none,0,False,0.0,403,727.0,970.0,243.0
1,normal,none,0,False,0.0,469,846.0,974.0,128.0
1,normal,none,0,False,0.0,497,896.0,976.0,80.0
1,normal,none,0,False,0.0,411,741.0,977.0,236.0
1,normal,none,0,False,0.0,441,795.0,978.0,183.0
1,normal,none,0,False,0.0,422,761.0,983.0,222.0
1,normal,none,0,False,0.0,524,945.0,985.0,40.0
1,normal,none,0,False,0.0,525,946.0,985.0,39.0
1,normal,none,0,False,0.0,425,766.0,986.0,220.0
